Rank,Name,Name Link,Symbol,Industry,2022 Revenue (USD millions),Revenue Growth,Employees,Headquarters City,Headquarters Link,Headquarters Geo Loc
29,Phillips 66,https://en.wikipedia.org/wiki/Phillips_66,PSX,Petroluem Industry,"114,852", 75.4%,"14,000","Houston, Texas",https://en.wikipedia.org/wiki/Houston,"29.762778, -95.383056"
30,Valero Energy,https://en.wikipedia.org/wiki/Valero_Energy,VLO,Petroluem Industry,"108,332", 80.2%,"9,804","San Antonio, Texas",https://en.wikipedia.org/wiki/San_Antonio,"29.42412, -98.49363"
31,Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,DELL,Technology,"106,995", 13.6%,"133,000","Round Rock, Texas","https://en.wikipedia.org/wiki/Round_Rock,_Texas","30.508611, -97.678889"
32,Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation,TGT,Retail,"106,005", 13.3%,"450,000","Minneapolis, Minnesota",https://en.wikipedia.org/wiki/Minneapolis,"44.981944, -93.269167"
33,Fannie Mae,https://en.wikipedia.org/wiki/Fannie_Mae,FNMA,Financial,"101,543", -4.6%,"7,400","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","38.904722, -77.016389"
34,United Parcel Service,https://en.wikipedia.org/wiki/United_Parcel_Service,UPS,Transportation,"97,287", 15.0%,"400,945","Atlanta, Georgia",https://en.wikipedia.org/wiki/Atlanta,"33.748889, -84.39"
35,Lowe's Companies,https://en.wikipedia.org/wiki/Lowe%27s,LOW,Retail,"96,250", 7.4%,"270,000","Mooresville, North Carolina","https://en.wikipedia.org/wiki/Mooresville,_North_Carolina","35.584444, -80.820278"
36,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,BAC,Financial,"93,851", 0.1%,"208,248","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","35.227222, -80.843056"
37,Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,JNJ,Pharmaceuticals,"93,775", 13.6%,"141,700","New Brunswick, New Jersey","https://en.wikipedia.org/wiki/New_Brunswick,_New_Jersey","40.486678, -74.444414"
38,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,ADM,Food Industry,"85,959", 32.5%,"39,979","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago,_Illinois","41.881944, -87.627778"
39,FedEx,https://en.wikipedia.org/wiki/FedEx,FDX,Transportation,"83,959", 21.3%,"484,000","Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee","35.1175, -89.971111"
